Open,High,Low,Close,Adj Close,Volume,Close_RSI,Close_EMA20,Close_EMA100,Close_EMA200,Target,TargetClass,TargetNextClose
236.84666442871097,239.77333068847656,228.3699951171875,233.07000732421875,233.07000732421875,87930900,47.4869134980027,236.01221215368918,270.4859545986907,303.2710498046875,11.539993286132812,1,237.0399932861328
225.5,242.05999755859375,225.03334045410156,237.0399932861328,237.0399932861328,97954500,49.48370586204734,236.11009607106476,269.82365833507566,302.6120343169407,3.4166717529296875,1,238.31333923339844
234.89666748046875,238.65333557128903,229.3333282470703,238.31333923339844,238.31333923339844,78557400,50.138601265440066,236.3199287531918,269.19969162019095,301.9722463061592,0.06666564941409092,1,240.0666656494141
240.0,243.6233367919922,236.88999938964844,240.0666656494141,240.0666656494141,69683100,51.07905268451297,236.6767608385463,268.6228000168092,301.35627037922643,-4.3899993896484375,0,240.54666137695312
244.93666076660156,250.51666259765625,239.60333251953125,240.54666137695312,240.54666137695312,82537500,51.34958412492009,237.04532279458505,268.0668368754259,300.7511996428854,0.529998779296875,1,245.52999877929688
245.0,247.13999938964844,236.97666931152344,245.52999877929688,245.52999877929688,80890200,54.18242751897211,237.8533871740814,267.6205628537204,300.20173495767557,0.7166595458984375,1,247.5
246.78334045410156,250.663330078125,243.48333740234375,247.5,247.5,88864200,55.290745362032986,238.77211220512126,267.22213586651804,299.6773395849624,16.59999084472659,1,271.7066650390625
255.1066741943359,273.26666259765625,254.86666870117188,271.7066650390625,271.7066650390625,142032300,66.13191309459039,241.90873628454423,267.3109384243902,299.39902441535145,-3.976654052734375,0,272.24334716796875
276.2200012207031,280.78668212890625,270.71331787109375,272.24334716796875,272.24334716796875,103472700,66.32686569533695,244.79774684487037,267.4086098846591,299.1288186715964,-3.783355712890625,0,268.4333190917969
272.2166748046875,274.14666748046875,267.3999938964844,268.4333190917969,268.4333190917969,64073400,63.53097854619922,247.04875372553005,267.42890115608753,298.823390815081,-7.653350830078125,0,258.8599853515625
266.5133361816406,267.30999755859375,256.2633361816406,258.8599853515625,258.8599853515625,66820800,57.02631041981421,248.17363292800934,267.2592196550078,298.42574498957333,11.010009765625,1,274.82000732421875
263.80999755859375,275.9266662597656,261.7900085449219,274.82000732421875,274.82000732421875,88110000,63.699158797410604,250.71138287050547,267.408938222715,298.190862027729,0.83331298828125,1,280.8999938964844
280.0666809082031,283.29998779296875,272.79998779296875,280.8999938964844,280.8999938964844,84723000,65.87315402015825,253.58648868250347,267.6760878400174,298.01881358861215,16.449981689453125,1,297.1499938964844
280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,297.1499938964844,95313000,70.89087468520874,257.7353939409778,268.2597295441058,298.0101686165512,-4.0,0,297.27667236328125
301.27667236328125,311.8766784667969,295.0,297.27667236328125,297.27667236328125,117042900,70.9267617428336,261.5012299811972,268.83432247121823,298.0028701463694,6.583343505859375,1,300.586669921875
294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,300.586669921875,95577600,71.90152902202468,265.22365283269033,269.4630818266768,298.0285795968719,2.39666748046875,1,307.39666748046875
305.0,309.54998779296875,301.1499938964844,307.39666748046875,307.39666748046875,80091000,73.84453420822977,269.240130418193,270.21424193863305,298.1217944016838,-2.366668701171875,0,308.6333312988281
311.0,313.6066589355469,305.0,308.6333312988281,308.6333312988281,72256200,74.19352133103622,272.9918638353964,270.97501598536957,298.2263868086206,-14.5,0,288.1700134277344
302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,288.1700134277344,113172900,59.941310009288394,274.43740189180954,271.3155109842283,298.12632339189537,-4.57666015625,0,290.42333984375
295.0,305.20001220703125,289.086669921875,290.42333984375,290.42333984375,98994000,60.833512910012786,275.95987217294675,271.6938838329317,298.04967678942626,-6.959991455078125,0,283.3333435058594
290.2933349609375,292.39666748046875,279.35333251953125,283.3333435058594,283.3333435058594,86244600,56.564591776154714,276.66210753798606,271.92436818289065,297.90324561247536,-2.71002197265625,0,294.3566589355469
297.0666809082031,297.510009765625,283.3699951171875,294.3566589355469,294.3566589355469,94918800,61.13151542703137,278.3473029091823,272.368571960171,297.86795619280446,-9.883331298828125,0,286.6300048828125
296.5133361816406,298.2366638183594,285.8333435058594,286.6300048828125,286.6300048828125,70155000,56.63641388258296,279.1361316685757,272.6509765725005,297.7561357817598,10.61334228515625,1,300.0299987792969
289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,300.0299987792969,79657200,61.87253932883916,281.12602377435866,273.1931354280806,297.7787612842228,7.5333251953125,1,309.32000732421875
301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,309.32000732421875,89359200,65.02559329755873,283.8111650648215,273.90851902998435,297.8935995532775,-5.10333251953125,0,306.5633239746094
311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,306.5633239746094,88136400,63.351401526959116,285.9780373419442,274.555148830868,297.97986546791765,0.600006103515625,1,303.9966735839844
303.39666748046875,309.65667724609375,300.0333251953125,303.9966735839844,303.9966735839844,68766000,61.75709345744905,287.6940979364242,275.1381493210287,298.03973420539097,-3.1300048828125,0,302.8699951171875
306.0,306.5,301.85333251953125,302.8699951171875,302.8699951171875,47500500,61.031013316037985,289.1394214774493,275.68729478233877,298.0877965030208,-2.333343505859375,0,296.6666564941406
299.0,300.3599853515625,292.5,296.6666564941406,296.6666564941406,61395300,57.05368374540177,289.85630100284845,276.102727687523,298.07365580641505,-2.0,0,289.913330078125
